Disease,Description
"gallstone","Solid particles that form in the gallbladder, which can block bile flow and cause pain."
"multiple sclerosis","A disease in which the immune system attacks the protective covering of nerves, leading to communication problems between the brain and the rest of the body."
"zenker diverticulum","A pouch that can form at the junction of the throat and esophagus, leading to swallowing difficulties and regurgitation."
"fracture of the pelvis","A break in one or more bones of the pelvis, often due to trauma, leading to pain and mobility issues."
"pneumoconiosis","A group of lung diseases caused by inhaling certain dusts, leading to lung inflammation and scarring."
"hyperlipidemia","An excess of lipids or fats in the blood, increasing the risk of heart attack and stroke."
"ulcerative colitis","A chronic inflammatory bowel disease causing inflammation and ulcers in the lining of the large intestine."
"male genitalia infection","Infections affecting the male genital organs, such as Candida balanitis, causing redness, itching, and discomfort."
"hpv","A viral infection causing skin or mucous membrane growths (warts), with some types leading to cancer."
"angina","Chest pain due to reduced blood flow to the heart, often described as squeezing or pressure in the chest."
"injury to the spinal cord","Damage to the spinal cord resulting in changes in strength, sensation, and other body functions below the injury site."
"nasal polyp","Soft, painless, noncancerous growths on the lining of the nasal passages or sinuses."
"lichen simplex","A chronic skin condition characterized by thickened, leathery, and itchy patches of skin due to repeated scratching."
"trichiasis","A condition where eyelashes grow inward toward the eye, causing irritation by rubbing against the cornea or conjunctiva."
"acariasis","Infestation with mites, leading to skin irritation and other related symptoms."
"colorectal cancer","Cancer that starts in the colon or rectum, often beginning as benign polyps that become cancerous over time."
"skin pigmentation disorder","Conditions affecting skin color due to issues with melanin production, such as albinism or melasma."
"factitious disorder","A mental disorder where a person deliberately produces or exaggerates symptoms of illness for attention or other motives."
"lymphogranuloma venereum","A sexually transmitted infection caused by certain types of Chlamydia trachomatis, leading to genital ulcers and lymph node swelling."
"galactorrhea of unknown cause","Unexpected milk production not associated with childbirth or nursing, with no identifiable cause."
"g6pd enzyme deficiency","A genetic disorder leading to reduced activity of the G6PD enzyme, causing red blood cells to break down prematurely."
"nerve impingement near the shoulder","Compression of nerves near the shoulder, causing pain, numbness, or weakness in the arm."
"toxoplasmosis","An infection caused by the Toxoplasma gondii parasite, often asymptomatic but potentially serious in immunocompromised individuals."
"fibroadenoma","A benign breast tumor characterized by solid, noncancerous lumps that are usually painless and movable."
"open wound of the hand","An injury involving a break in the skin of the hand, exposing underlying tissues and increasing infection risk."
"missed abortion","A condition where the fetus has died but remains in the uterus without signs of miscarriage."
"diabetic ketoacidosis","A serious complication of diabetes characterized by high blood sugar, ketone production, and metabolic acidosis."
"granuloma inguinale","A sexually transmitted infection caused by Klebsiella granulomatis, leading to ulcerative genital lesions."
"obsessive compulsive disorder (ocd)","A mental health disorder characterized by intrusive thoughts (obsessions) and repetitive behaviors (compulsions)."
"injury of the ankle","Damage to the structures of the ankle, including sprains, strains, or fractures."
"hyponatremia","A condition where sodium levels in the blood are abnormally low, leading to symptoms like nausea and confusion."
"stricture of the esophagus","Narrowing of the esophagus, causing difficulty swallowing and potential obstruction."
"fracture of the ankle","A break in one or more of the bones forming the ankle joint."
"soft tissue sarcoma","A group of cancers originating in the soft tissues like muscles, fat, nerves, and blood vessels."
"bone disorder","Any condition affecting the structure or function of bones, such as osteoporosis or Paget's disease."
"epilepsy","A neurological disorder characterized by recurrent, unprovoked seizures."
"personality disorder","A type of mental disorder involving enduring maladaptive patterns of behavior, cognition, and inner experience."
"shingles (herpes zoster)","A viral infection causing a painful rash, resulting from the reactivation of the varicella-zoster virus."
"tourette syndrome","A neurological disorder characterized by repetitive, involuntary movements and vocalizations called tics."
"avascular necrosis","Death of bone tissue due to a lack of blood supply, leading to joint pain and potential collapse of the bone."
"strep throat","A bacterial infection causing inflammation and pain in the throat, caused by Streptococcus pyogenes."
"spinocerebellar ataxia","A group of genetic disorders characterized by progressive coordination and balance difficulties due to cerebellar degeneration."
"osteomyelitis","An infection in a bone, leading to inflammation and bone destruction."
"sjogren syndrome","An autoimmune disorder characterized by dry eyes and mouth due to the body's immune system attacking its own moisture-producing glands."
"adhesive capsulitis of the shoulder","Also known as frozen shoulder, it's characterized by stiffness and pain in the shoulder joint."
"viral hepatitis","Inflammation of the liver caused by viral infections, such as hepatitis A, B, C, D, or E."
"tonsillar hypertrophy","Enlargement of the tonsils, which can cause breathing difficulties and recurrent infections."
"gastritis","Inflammation of the stomach lining, leading to symptoms like nausea, vomiting, and stomach pain."
"skin cancer","The uncontrolled growth of abnormal skin cells, often due to UV radiation exposure."
"rheumatic fever","An inflammatory disease that can develop as a complication of untreated or poorly treated strep throat or scarlet fever."
"aphthous ulcer","Commonly known as canker sores, these are small, shallow lesions that develop on the soft tissues in the mouth."
"tonsillitis","Inflammation of the tonsils, typically caused by viral or bacterial infections, leading to sore throat and difficulty swallowing."
"intestinal cancer","Cancer that occurs in the small intestine, a rare form of cancer affecting the digestive tract."
"rocky mountain spotted fever","A bacterial infection transmitted by tick bites, causing fever, rash, and potentially severe complications."
"stomach cancer","A disease in which malignant cells form in the lining of the stomach, leading to various gastrointestinal symptoms."
"developmental disability","A group of conditions due to an impairment in physical, learning, language, or behavior areas, often diagnosed before adulthood."
"acute stress reaction","A psychological condition arising in response to a terrifying or traumatic event, characterized by anxiety and dissociation."
"delirium","An abrupt change in the brain causing mental confusion and emotional disruption, leading to confusion and reduced awareness of the environment."
"callus","A thickened and hardened part of the skin that develops in areas subjected to repeated friction, pressure, or irritation."
"guillain barre syndrome","A rare neurological disorder where the body's immune system attacks the nerves, leading to muscle weakness and sometimes paralysis."
"lumbago","A general term referring to lower back pain, which can result from various underlying conditions affecting the lumbar region."
"deviated nasal septum","A condition where the nasal septum is displaced to one side, potentially causing breathing difficulties and nasal congestion."
"hemangioma","A benign tumor made up of blood vessels, often appearing as a red birthmark on the skin."
"peripheral arterial disease","A circulatory condition where narrowed arteries reduce blood flow to the limbs, causing leg pain during walking."
"chronic back pain","Persistent pain in the back lasting more than three months, which can result from various medical conditions or injuries."
"heart failure","A chronic condition where the heart doesn't pump blood as well as it should, leading to fatigue and shortness of breath."
"conjunctivitis","Inflammation or infection of the outer membrane of the eyeball and the inner eyelid, causing redness and irritation."
"herniated disk","A condition where the soft center of a spinal disk pushes through a crack in the tougher exterior casing, potentially irritating nearby nerves."
"rhabdomyolysis","A serious syndrome due to direct or indirect muscle injury, resulting in the release of muscle fiber contents into the blood, which can lead to kidney damage."
"breast infection (mastitis)","An infection of the breast tissue that results in breast pain, swelling, warmth, and redness, often affecting breastfeeding women."
"abdominal aortic aneurysm","An enlarged area in the lower part of the aorta, the major blood vessel supplying blood to the body, which can be life-threatening if it ruptures."
"pulmonary embolism","A blockage in one of the pulmonary arteries in the lungs, usually caused by blood clots that travel to the lungs from the legs."
"conduct disorder","A range of antisocial types of behavior displayed in childhood or adolescence, including aggression and rule violation."
"mastectomy","A surgical operation to remove one or both breasts, partially or completely, often performed to treat or prevent breast cancer."
"epididymitis","Inflammation of the epididymis, a tube at the back of the testicle that stores and carries sperm, causing pain and swelling."
"premature rupture of amniotic membrane","A condition where the amniotic sac breaks before labor begins, which can lead to complications if it occurs before 37 weeks of pregnancy."
"molluscum contagiosum","A viral skin infection that results in round, firm, painless bumps ranging in size from a pinhead to a pencil eraser."
"necrotizing fasciitis","A rare but serious bacterial infection that destroys tissue under the skin, often referred to as a 'flesh-eating disease.'"
"benign vaginal discharge (leukorrhea)","A normal vaginal discharge that is usually clear or milky and may have a mild odor."
"bladder obstruction","A blockage at the base or neck of the bladder that reduces or prevents urine from passing into the urethra."
"melanoma","The most serious type of skin cancer, developing in the cells that produce melanin, the pigment that gives skin its color."
"cervical disorder","Any abnormal condition affecting the cervix, the lower part of the uterus that opens into the vagina."
"laryngitis","Inflammation of the larynx, or voice box, causing hoarseness or loss of voice."
"dyshidrosis","A skin condition that causes small, fluid-filled blisters to form on the palms of the hands and sides of the fingers."
"poisoning due to opioids","A potentially life-threatening condition resulting from the excessive consumption of opioid drugs, leading to respiratory depression and other symptoms."
"diaper rash","A common form of inflamed skin (dermatitis) that appears as a patchwork of bright red skin on a baby's bottom."
"lichen planus","An inflammatory condition that can affect the skin, hair, nails, and mucous membranes, presenting as purplish, itchy, flat bumps."
"gastroduodenal ulcer","A sore that develops on the lining of the stomach or the first part of the small intestine (duodenum)."
"inguinal hernia","A condition in which soft tissue, often part of the intestine, protrudes through a weak point or tear in the lower abdominal wall."
"eczema","A condition that makes the skin red, inflamed, and itchy; it's common in children but can occur at any age."
"asperger syndrome","A developmental disorder affecting the ability to effectively socialize and communicate, considered to be on the autism spectrum."
"mucositis","Painful inflammation and ulceration of the mucous membranes lining the digestive tract, often as an adverse effect of chemotherapy and radiotherapy."
"paronychia","An infection of the skin around a fingernail or toenail, leading to redness, swelling, and pain."
"open wound of the jaw","A break in the skin of the jaw area, exposing underlying tissues and potentially leading to infection."
"white blood cell disease","Any disorder affecting white blood cells, which are crucial components of the immune system."
"kaposi sarcoma","A type of cancer that forms in the lining of blood and lymph vessels, causing purple or red patches on the skin or mucous membranes."
"spondylolisthesis","A condition in which one of the bones in the spine (vertebrae) slips out of place onto the bone below it."
"pseudotumor cerebri","A condition characterized by increased pressure around the brain without the presence of a tumor, leading to headaches and vision problems."
"conjunctivitis due to virus","Inflammation of the conjunctiva caused by a viral infection, leading to redness, itching, and discharge from the eyes."
"open wound of the nose","A break in the skin of the nose, exposing underlying tissues and increasing the risk of infection."
